click des,fill correct,fill incorrect,liberary related,liberary unrelated,click restart,strategy_no,strategy_yes
'2,3班学生',,,,,,,
0.004,0.069,0.030,0.002,0.011,0.067,0.818,0.000
0.040,0.124,0.204,0.266,0.332,0.001,0.033,0.001
0.050,0.108,0.110,0.001,0.016,0.221,0.073,0.421
,,,,,,,
,,,,,,,
0.000,0.032,0.010,0.003,0.015,0.066,0.873,0.000
0.122,0.275,0.280,0.015,0.050,0.258,0.001,0.000
0.001,0.033,0.000,0.001,0.000,0.115,0.000,0.850
0.024,0.106,0.191,0.287,0.351,0.000,0.041,0.000
,,,,,,,
,,,,,,,
,,,,,,,
0.001,0.017,0.000,0.003,0.008,0.042,0.929,0.000
0.051,0.502,0.282,0.000,0.067,0.098,0.000,0.000
0.001,0.087,0.013,0.016,0.000,0.080,0.000,0.803
0.025,0.108,0.185,0.289,0.355,0.000,0.036,0.002
0.111,0.006,0.187,0.001,0.028,0.358,0.235,0.075
,,,,,,,
,,,,,,,
所有学生,,,,,,,
0.003,0.026,0.014,0.003,0.002,0.105,0.847,0.000
0.028,0.374,0.163,0.016,0.199,0.219,0.000,0.000
0.052,0.000,0.135,0.248,0.198,0.035,0.070,0.261
,,,,,,,
0.000,0.001,0.006,0.001,0.006,0.083,0.902,0.000
0.043,0.400,0.163,0.007,0.058,0.329,0.000,0.000
0.044,0.012,0.069,0.013,0.002,0.134,0.000,0.725
0.045,0.100,0.174,0.287,0.330,0.015,0.047,0.002
,,,,,,,
,,,,,,,
0.000,0.014,0.000,0.002,0.002,0.056,0.927,0.000
0.119,0.466,0.223,0.000,0.098,0.094,0.000,0.000
0.006,0.065,0.016,0.016,0.000,0.080,0.000,0.818
0.044,0.104,0.175,0.299,0.317,0.013,0.038,0.010
0.012,0.025,0.110,0.039,0.095,0.407,0.239,0.075
